172.23.72.14;2023-10-23 13:23:05.981662;Erro;Erro;
172.23.72.14;2023-10-23 13:23:40.796609;Erro;Erro;
172.23.72.14;2023-10-23 13:24:17.660848;Erro;Erro;
172.23.72.14;2023-10-23 13:24:52.476903;Erro;Erro;
172.23.72.14;2023-10-23 13:25:27.292860;Erro;Erro;
172.23.72.14;2023-10-23 13:26:02.108873;Erro;Erro;
172.23.72.14;2023-10-23 13:26:36.924847;Erro;Erro;
172.23.72.14;2023-10-23 13:27:11.740576;Erro;Erro;
172.23.72.14;2023-10-23 13:27:48.605151;Erro;Erro;
172.23.72.14;2023-10-23 13:28:23.420940;Erro;Erro;
172.23.72.14;2023-10-23 13:28:58.236949;Erro;Erro;
172.23.72.14;2023-10-23 13:29:33.052889;Erro;Erro;
172.23.72.14;2023-10-23 13:30:07.868747;Erro;Erro;
172.23.72.14;2023-10-23 13:30:40.636743;Erro;Erro;
172.23.72.14;2023-10-23 13:31:15.452754;Erro;Erro;
172.23.72.14;2023-10-23 13:31:50.268768;Erro;Erro;
172.23.72.14;2023-10-23 13:32:27.132903;Erro;Erro;
172.23.72.14;2023-10-23 13:32:59.900742;Erro;Erro;
172.23.72.14;2023-10-23 13:33:34.716760;Erro;Erro;
172.23.72.14;2023-10-23 13:34:09.532871;Erro;Erro;
172.23.72.14;2023-10-23 13:34:44.349208;Erro;Erro;
172.23.72.14;2023-10-23 13:35:23.260872;Erro;Erro;
172.23.72.14;2023-10-23 13:35:58.076882;Erro;Erro;
172.23.72.14;2023-10-23 13:36:32.892949;Erro;Erro;
172.23.72.14;2023-10-23 13:37:07.712925;Erro;Erro;
172.23.72.14;2023-10-23 13:37:42.524904;Erro;Erro;
172.23.72.14;2023-10-23 13:38:15.292791;Erro;Erro;
172.23.72.14;2023-10-23 13:38:52.156946;Erro;Erro;
172.23.72.14;2023-10-23 13:39:26.972865;Erro;Erro;
172.23.72.14;2023-10-23 13:40:01.788857;Erro;Erro;
172.23.72.14;2023-10-23 13:40:36.604888;Erro;Erro;
172.23.72.14;2023-10-23 13:41:11.420912;Erro;Erro;
172.23.72.14;2023-10-23 13:41:48.284581;Erro;Erro;
172.23.72.14;2023-10-23 13:42:23.100873;Erro;Erro;
172.23.72.14;2023-10-23 13:42:57.916792;Erro;Erro;
172.23.72.14;2023-10-23 13:43:32.732943;Erro;Erro;
172.23.72.14;2023-10-23 13:44:07.548783;Erro;Erro;
172.23.72.14;2023-10-23 13:44:42.364882;Erro;Erro;
172.23.72.14;2023-10-23 13:45:17.180887;Erro;Erro;
172.23.72.14;2023-10-23 13:45:51.996915;Erro;Erro;
172.23.72.14;2023-10-23 13:46:28.860952;Erro;Erro;
172.23.72.14;2023-10-23 13:47:01.628794;Erro;Erro;
172.23.72.14;2023-10-23 13:47:36.444726;Erro;Erro;
172.23.72.14;2023-10-23 13:48:11.260864;Erro;Erro;
172.23.72.14;2023-10-23 13:48:46.076870;Erro;Erro;
172.23.72.14;2023-10-23 13:49:22.940889;Erro;Erro;
172.23.72.14;2023-10-23 13:49:57.756756;Erro;Erro;
172.23.72.14;2023-10-23 13:50:32.572792;Erro;Erro;
172.23.72.14;2023-10-23 13:51:07.388759;Erro;Erro;
172.23.72.14;2023-10-23 13:51:42.204900;Erro;Erro;
172.23.72.14;2023-10-23 13:52:19.068906;Erro;Erro;
172.23.72.14;2023-10-23 13:52:53.884909;Erro;Erro;
172.23.72.14;2023-10-23 13:53:28.700900;Erro;Erro;
172.23.72.14;2023-10-23 13:54:03.521830;Erro;Erro;
172.23.72.14;2023-10-23 13:54:38.333154;Erro;Erro;
172.23.72.14;2023-10-23 13:55:13.148901;Erro;Erro;
172.23.72.14;2023-10-23 13:55:47.964779;Erro;Erro;
172.23.72.14;2023-10-23 13:56:22.780738;Erro;Erro;
172.23.72.14;2023-10-23 13:56:59.644941;Erro;Erro;
172.23.72.14;2023-10-23 13:57:32.412773;Erro;Erro;
172.23.72.14;2023-10-23 13:58:07.229128;Erro;Erro;
172.23.72.14;2023-10-23 13:58:42.044726;Erro;Erro;
172.23.72.14;2023-10-23 13:59:18.908793;Erro;Erro;
172.23.72.14;2023-10-23 13:59:53.724793;Erro;Erro;
172.23.72.14;2023-10-23 14:00:28.540761;Erro;Erro;
172.23.72.14;2023-10-23 14:01:03.356788;Erro;Erro;
172.23.72.14;2023-10-23 14:01:38.172637;Erro;Erro;
172.23.72.14;2023-10-23 14:02:15.037010;Erro;Erro;
172.23.72.14;2023-10-23 14:02:51.900953;Erro;Erro;
172.23.72.14;2023-10-23 14:03:26.716937;Erro;Erro;
172.23.72.14;2023-10-23 14:04:01.532823;Erro;Erro;
172.23.72.14;2023-10-23 14:04:36.348674;Erro;Erro;
172.23.72.14;2023-10-23 14:05:09.116783;Erro;Erro;
172.23.72.14;2023-10-23 14:05:45.980746;Erro;Erro;
172.23.72.14;2023-10-23 14:06:22.844749;Erro;Erro;
172.23.72.14;2023-10-23 14:06:57.660747;Erro;Erro;
172.23.72.14;2023-10-24 11:33:02.608177;Erro;Erro;
172.23.72.14;2023-10-24 11:33:37.424035;Erro;Erro;
172.23.72.14;2023-10-24 11:34:12.240743;Erro;Erro;
172.23.72.14;2023-10-24 11:34:47.056198;Erro;Erro;
172.23.72.14;2023-10-24 11:35:19.824062;Erro;Erro;
172.23.72.14;2023-10-24 11:35:54.639864;Erro;Erro;
