172.23.72.194;2023-10-23 11:31:29.024906;Erro;Erro;
172.23.72.194;2023-10-23 11:32:03.836610;Erro;Erro;
172.23.72.194;2023-10-23 11:32:36.616617;Erro;Erro;
172.23.72.194;2023-10-23 11:33:11.436612;Erro;Erro;
172.23.72.194;2023-10-23 11:33:44.189764;Erro;Erro;
172.23.72.194;2023-10-23 11:34:21.068630;Erro;Erro;
172.23.72.194;2023-10-23 11:34:55.876857;Erro;Erro;
172.23.72.194;2023-10-23 11:35:28.660604;Erro;Erro;
172.23.72.194;2023-10-23 11:36:03.452956;Erro;Erro;
172.23.72.194;2023-10-23 11:36:36.236679;Erro;Erro;
172.23.72.194;2023-10-23 11:37:11.044850;Erro;Erro;
172.23.72.194;2023-10-23 11:37:43.816632;Erro;Erro;
172.23.72.194;2023-10-23 11:38:20.684609;Erro;Erro;
172.23.72.194;2023-10-23 11:38:55.488862;Erro;Erro;
